GVKEY,LPERMNO,LPERMCO,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,aqc,at,capx,ceq,che,csho,dlc,dltt,dv,emp,ppent,sale,sppe,xrd,costat,prcc_f,conml,gsector,sic,state
001706,11581,323,2020/08/31,2020,INDL,C,D,STD,EPAC,292765104,ENERPAC TOOL GROUP CORP,USD,33.2980,824.2940,12.0530,359.2260,152.1700,59.7950,11.8700,293.0790,2.4190,2.3000,110.1380,493.2920,0.7080,7.3000,A,20.8000,Enerpac Tool Group Corp,20,3533,WI
001743,77595,11512,2020/12/31,2020,INDL,C,D,STD,ARCB,03937C105,ARCBEST CORP,USD,0.0000,1779.0080,57.4890,828.5930,369.3620,25.3880,88.5870,314.9580,8.1570,,793.8850,2940.1630,13.3480,,A,42.6700,ArcBest Corp,20,4213,AR
001773,29209,20217,2020/12/31,2020,INDL,C,D,STD,ARW,042735100,ARROW ELECTRONICS INC,USD,0.0000,17053.9110,123.5850,5089.3190,373.6150,74.8430,158.6330,2097.9400,0.0000,,799.6050,28673.3630,0.0000,0.0000,A,97.3000,Arrow Electronics Inc,45,5065,CO
001794,24272,20222,2020/09/30,2020,INDL,C,D,STD,ASH,044186104,ASHLAND GLOBAL HOLDINGS INC,USD,0.0000,6877.0000,138.0000,3036.0000,484.0000,61.0000,303.0000,1697.0000,66.0000,4.5000,1702.0000,2326.0000,5.0000,64.0000,A,70.9200,Ashland Global Holdings Inc,15,2820,KY
001891,44644,20235,2020/06/30,2020,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,0.0000,39165.5000,172.7000,5752.2000,1908.5000,429.9000,1110.9000,1347.2000,1470.5000,58.0000,1197.6000,14589.8000,,674.1000,A,148.8900,Automatic Data Processing Inc,45,7374,NJ
001913,44601,20238,2020/12/31,2020,INDL,C,D,STD,AVY,053611109,AVERY DENNISON CORP,USD,,6098.9000,201.4000,1499.9000,252.3000,83.4510,64.7000,2052.1000,196.8000,30.0000,1343.7000,6971.5000,9.2000,,A,155.1100,Avery Dennison Corp,15,2670,CA
001919,27684,20239,2020/06/30,2020,INDL,C,D,STD,AVT,053807103,AVNET INC,USD,51.5090,8105.1970,73.5160,3726.3980,477.0380,98.7930,53.3640,1678.5100,83.9750,14.6000,680.5240,17634.3330,0.0000,,A,27.8850,Avnet Inc,45,5065,AZ
001968,53110,20250,2020/12/31,2020,INDL,C,D,STD,BMI,056525108,BADGER METER INC,USD,29.1340,468.3800,9.0590,361.2590,72.2730,29.1170,0.0000,,20.3400,,82.7050,425.5440,0.0000,,A,94.0600,Badger Meter Inc.,45,3824,WI
001988,57568,20257,2020/12/31,2020,INDL,C,D,STD,BLL,058498106,BALL CORP,USD,69.0000,18252.0000,1113.0000,3337.0000,1366.0000,326.9790,17.0000,7783.0000,198.0000,21.5000,5351.0000,11781.0000,,,A,93.1800,Ball Corp,15,3411,CA
002005,16548,589,2020/12/31,2020,INDL,C,D,STD,BOH,062540109,BANK OF HAWAII CORP,USD,,20603.6510,,1374.5070,614.0880,40.1190,600.5900,167.8930,,,299.2370,730.8330,,,A,76.6200,Bank of Hawaii Corp,40,6020,HI
002019,49656,20265,2020/12/31,2020,INDL,C,D,STD,BK,064058100,BANK OF NEW YORK MELLON CORP,USD,,469633.0000,,41260.0000,196234.0000,886.7640,11655.0000,25984.0000,,48.5000,3602.0000,16940.0000,,,A,42.4400,Bank of New York Mellon Corp (The),40,6020,NY
002052,42358,20271,2020/09/30,2020,INDL,C,D,STD,BRN,068221100,BARNWELL INDUSTRIES,USD,0.0000,15.1820,3.1310,-2.0450,4.5840,8.2770,0.2000,0.2010,0.0000,0.0430,4.0230,18.3290,1.7080,,A,0.8526,Barnwell Industries Inc,10,1311,HI
002080,17137,676,2020/11/30,2020,INDL,C,D,STD,BSET,070203104,BASSETT FURNITURE INDS,USD,0.0000,402.5490,6.0290,158.0300,63.5140,9.9430,27.6120,113.8340,4.5440,2.0710,207.8200,385.8630,2.3450,,A,15.7000,Bassett Furniture Industries Inc.,25,2511,VA
002101,29612,20283,2020/06/30,2020,INDL,C,D,STD,AIT,03820C105,APPLIED INDUSTRIAL TECH INC,USD,37.2370,2283.5510,20.1150,843.5420,268.5510,38.7100,105.8770,923.0690,48.8730,6.2000,212.5370,3245.6520,1.9480,0.0000,A,62.3900,Applied Industrial Technologies Inc,20,5080,OH
002111,39642,20284,2020/09/30,2020,INDL,C,D,STD,BDX,075887109,BECTON DICKINSON & CO,USD,164.0000,54012.0000,810.0000,23763.0000,2937.0000,290.0170,812.0000,17560.0000,1026.0000,72.0000,6341.0000,17117.0000,0.0000,1096.0000,A,232.6800,Becton Dickinson and Co,35,3841,NJ
002136,65875,20288,2020/12/31,2020,INDL,C,D,STD,VZ,92343V104,VERIZON COMMUNICATIONS INC,USD,520.0000,316481.0000,18192.0000,67842.0000,22171.0000,4138.0000,9374.0000,141173.0000,10232.0000,132.2000,117364.0000,128292.0000,,,A,58.7500,Verizon Communications Inc,50,4812,NY
002285,19561,20315,2020/12/31,2020,INDL,C,D,STD,BA,097023105,BOEING CO,USD,0.0000,152136.0000,1303.0000,-18316.0000,25590.0000,582.3200,1961.0000,62974.0000,1158.0000,141.0000,13072.0000,58656.0000,296.0000,2476.0000,A,214.0600,Boeing Co,20,3721,IL
002337,12437,20325,2020/12/31,2020,INDL,C,D,STD,RFP,76117W109,RESOLUTE FOREST PRODUCTS INC,USD,172.0000,3730.0000,78.0000,1081.0000,117.0000,82.6000,11.0000,614.0000,0.0000,,1501.0000,2800.0000,,,A,6.5400,Resolute Forest Products Inc,15,2621,QC
002342,60898,614,2020/06/30,2020,INDL,C,D,STD,BWL.A,102565108,BOWL AMERICA INC  -CL A,USD,0.0000,28.6130,0.5000,22.5170,7.0100,5.1610,0.1520,3.1720,2.7100,0.5000,19.4800,17.7810,0.0000,,A,9.4076,Bowl America Inc,25,7900,VA
002352,18973,7113,2020/07/31,2020,INDL,C,D,STD,BRC,104674106,BRADY CORP,USD,0.0000,1142.4660,27.2770,863.0720,217.6430,51.9960,15.3040,31.9820,45.7560,5.4000,156.9670,1081.2990,0.0000,40.6620,A,45.9700,Brady Corp,20,3990,WI
002390,19271,644,2020/10/31,2020,INDL,C,D,STD,BRID,108763103,BRIDGFORD FOODS CORP,USD,0.0000,155.2830,24.4820,71.2460,5.4270,9.0760,4.9460,25.7000,0.0000,0.5630,73.3320,197.9700,0.0390,,A,18.2500,Bridgford Foods Corp,30,2013,CA
002410,29890,20333,2020/12/31,2020,INDL,C,D,STD,BP,055622104,BP PLC,USD,44.0000,267654.0000,12306.0000,,31444.0000,3377.3370,11292.0000,70634.0000,6340.0000,,114836.0000,180366.0000,491.0000,,A,20.5200,BP PLC,10,2911,
002444,10874,20344,2020/12/31,2020,INDL,C,D,STD,BC,117043109,BRUNSWICK CORP,USD,0.0000,3770.6000,182.4000,1510.0000,587.0000,78.4210,43.1000,908.3000,78.3000,,946.6000,4347.5000,2.9000,125.9000,A,76.2400,Brunswick Corp,25,3510,IL
002547,64186,20357,2020/12/31,2020,INDL,C,D,STD,CI,125523100,CIGNA CORP,USD,,155451.0000,,50321.0000,11513.0000,354.7710,3374.0000,29545.0000,,70.0000,,160216.0000,,0.0000,A,208.1800,Cigna Corp,35,6324,CT
002573,20336,5286,2020/09/30,2020,INDL,C,D,STD,CSPI,126389105,CSP INC,USD,0.0000,53.6450,0.2300,29.5340,19.2640,4.2760,4.1390,3.9270,1.2620,0.1120,3.0610,61.7930,,2.7980,A,8.6300,CSP Inc,45,7373,MA
002574,62148,20370,2020/12/31,2020,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,0.0000,39793.0000,1626.0000,13101.0000,3131.0000,762.5290,446.0000,16759.0000,797.0000,19.3000,32916.0000,10583.0000,56.0000,,A,90.7500,CSX Corp,20,4011,FL
002577,28564,20371,2020/12/31,2020,INDL,C,D,STD,CTS,126501105,CTS CORP,USD,,626.0490,14.8580,423.6820,91.7730,32.2680,3.2940,77.7630,,,120.7180,424.0660,,24.3170,A,34.3300,CTS Corp,45,3670,IL
002593,46690,20374,2020/09/30,2020,INDL,C,D,STD,CBT,127055101,CABOT CORP,USD,92.0000,2781.0000,200.0000,691.0000,151.0000,56.4670,36.0000,1183.0000,80.0000,4.5000,1412.0000,2614.0000,0.0000,57.0000,A,36.0300,Cabot Corp,15,2890,MA
002596,20512,727,2020/06/30,2020,INDL,C,D,STD,CACI,127190304,CACI INTL INC  -CL A,USD,106.2260,5542.4720,72.3030,2661.1750,107.2360,25.0930,114.4690,1667.1990,0.0000,22.9000,501.2880,5720.0420,0.0000,,A,216.8800,CACI International Inc,45,7373,VA
002663,25320,20384,2020/07/31,2020,INDL,C,D,STD,CPB,134429109,CAMPBELL SOUP CO,USD,11.0000,12372.0000,299.0000,2563.0000,859.0000,302.0000,1269.0000,5178.0000,426.0000,14.5000,2622.0000,8691.0000,,93.0000,A,49.5700,Campbell Soup Co,30,2030,NJ
002696,84181,27520,2020/12/31,2020,INDL,C,D,STD,CNI,136375102,CANADIAN NATIONAL RAILWAY CO,CAD,8.0000,44804.0000,2863.0000,19651.0000,1100.0000,710.3000,1017.0000,12307.0000,1634.0000,24.3810,40504.0000,13819.0000,0.0000,,A,139.9400,Canadian National Railway Co,20,4011,QC
002698,89125,41990,2020/12/31,2020,INDL,C,D,STD,CP,13645T100,CANADIAN PACIFIC RAILWAY LTD,CAD,379.0000,23640.0000,1671.0000,7319.0000,147.0000,133.3000,1186.0000,8585.0000,467.0000,,20422.0000,7710.0000,,,A,441.5300,Canadian Pacific Railway Ltd,20,4011,AB
002751,21371,6262,2020/06/30,2020,INDL,C,D,STD,CAH,14149Y108,CARDINAL HEALTH INC,USD,0.0000,40766.0000,375.0000,1789.0000,2771.0000,293.0000,114.0000,7106.0000,569.0000,48.0000,2792.0000,152922.0000,,,A,52.1900,Cardinal Health Inc,35,5122,OH
002787,20618,20398,2020/06/30,2020,INDL,C,D,STD,CRS,144285103,CARPENTER TECHNOLOGY CORP,USD,0.0000,3227.2000,171.4000,1445.7000,193.1000,47.8500,181.5000,602.1000,38.8000,4.6000,1403.1000,2181.1000,0.2000,28.0000,A,24.2800,Carpenter Technology Corp,15,3312,PA
002817,18542,20408,2020/12/31,2020,INDL,C,D,STD,CAT,149123101,CATERPILLAR INC,USD,,78324.0000,2115.0000,15331.0000,9352.0000,543.2580,11164.0000,25999.0000,2243.0000,,12401.0000,41748.0000,772.0000,1415.0000,A,182.0200,Caterpillar Inc,20,3531,IL
002829,86474,6992,2020/10/31,2020,INDL,C,D,STD,RFIL,749552105,R F INDUSTRIES LTD,USD,3.9010,40.8220,0.2350,32.0640,15.7970,9.8140,2.5730,1.7240,0.3880,0.2710,2.2310,43.0440,0.0000,1.9890,A,4.2800,RF Industries Ltd,45,3678,CA
002884,60599,20421,2020/12/31,2020,INDL,C,D,STD,LUMN,550241103,LUMEN TECHNOLOGIES INC,USD,0.0000,59394.0000,3729.0000,11162.0000,406.0000,1097.2370,2806.0000,29410.0000,1109.0000,,26338.0000,20712.0000,,,A,9.7500,Lumen Technologies Inc,50,4813,LA
002942,22825,904,2020/07/31,2020,INDL,C,D,STD,CMD,138098108,CANTEL MEDICAL CORP,USD,721.3500,2071.7540,33.7960,729.5990,277.8710,42.1620,17.6430,1092.3480,4.4710,3.6690,273.9060,1016.0480,,32.3720,A,47.2500,Cantel Medical Corp,35,3845,NJ
003007,23297,6760,2020/06/30,2020,INDL,C,D,STD,EAT,109641100,BRINKER INTL INC,USD,0.0000,2356.0000,104.5000,-479.1000,43.9000,45.0000,129.5000,2270.1000,57.4000,62.2000,1859.9000,3078.5000,,0.0000,A,24.0000,Brinker International Inc.,25,5812,TX
003121,46578,20463,2020/06/30,2020,INDL,C,D,STD,CLX,189054109,CLOROX CO/DE,USD,0.0000,6213.0000,254.0000,908.0000,871.0000,126.1990,66.0000,3070.0000,533.0000,8.8000,1408.0000,6721.0000,0.0000,145.0000,A,219.3700,Clorox Co (The),30,2842,CA
003144,11308,20468,2020/12/31,2020,INDL,C,D,STD,KO,191216100,COCA-COLA CO,USD,,87296.0000,1177.0000,19299.0000,10914.0000,4302.0000,2668.0000,40125.0000,7047.0000,,10777.0000,33014.0000,189.0000,,A,54.8400,Coca-Cola Co (The),30,2086,GA
003157,24476,1033,2020/09/30,2020,INDL,C,D,STD,COHR,192479103,COHERENT INC,USD,0.0000,1827.4960,64.9190,927.2240,476.3690,24.2570,32.5820,486.5820,0.0000,4.8750,332.2390,1228.9990,21.9260,115.5780,A,110.9300,Coherent Inc,45,3826,CA
003203,82542,27456,2020/08/31,2020,INDL,C,D,STD,CCF,16150R104,CHASE CORP,USD,0.0000,346.8300,1.3710,302.7920,99.0680,9.4390,1.8650,6.3950,7.5390,0.6190,34.3950,261.1620,,4.0070,A,97.5700,Chase Corp,15,2891,MA
003221,61735,20203,2020/12/31,2020,INDL,C,D,STD,AON,G0403H108,AON PLC,USD,368.0000,32106.0000,141.0000,3495.0000,1192.0000,229.2000,448.0000,8178.0000,412.0000,,1510.0000,11066.0000,,,A,211.2700,Aon plc,40,6411,
003226,89525,43613,2020/12/31,2020,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,233.0000,273869.0000,10677.0000,90323.0000,12046.0000,4580.6560,3864.0000,109522.0000,4140.0000,168.0000,55779.0000,103564.0000,,,A,52.4000,Comcast Corp,50,4841,PA
003231,25081,1261,2020/12/31,2020,INDL,C,D,STD,CMA,200340107,COMERICA INC,USD,0.0000,88129.0000,79.0000,7656.0000,15767.0000,139.1680,0.0000,6057.0000,383.0000,7.8700,765.0000,3094.0000,,,A,55.8600,Comerica Inc,40,6020,TX
003238,25129,779,2020/12/31,2020,INDL,C,D,STD,CBSH,200525103,COMMERCE BANCSHARES INC,USD,,32922.9740,,3397.0470,2184.9260,117.1380,2098.3830,0.8020,,4.7660,371.0830,1389.5470,,,A,65.7000,Commerce Bancshares Inc,40,6020,MO
003246,30680,20484,2020/08/31,2020,INDL,C,D,STD,CMC,201723103,COMMERCIAL METALS,USD,18.1370,4081.7280,187.6180,1889.2010,542.1030,119.2210,45.7530,1161.3460,57.0560,11.2970,1685.9720,5476.4860,11.8430,,A,20.8700,Commercial Metals Co,15,3312,TX
003358,26201,9654,2020/07/31,2020,INDL,C,D,STD,CMTL,205826209,COMTECH TELECOMMUN,USD,12.9590,929.6470,7.2250,549.2990,47.8780,24.8910,8.3040,173.6090,10.0200,2.0340,57.0700,616.7150,0.0000,52.1800,A,16.4200,Comtech Telecommunications Corp.,45,3663,NY
003369,79618,12384,2020/06/30,2020,INDL,C,D,STD,RAVE,754198109,RAVE RESTAURANT GROUP INC,USD,0.0000,9.7050,0.0560,0.5030,3.2030,15.4650,0.6320,5.6770,0.0000,0.0220,3.9330,10.0280,0.0000,0.0000,A,0.7545,Rave Restaurant Group Inc,25,6794,TX
003439,23229,20361,2020/12/31,2020,INDL,C,D,STD,CMS,125896100,CMS ENERGY CORP,USD,0.0000,29666.0000,2317.0000,5496.0000,185.0000,288.9400,1515.0000,13715.0000,465.0000,8.8370,21073.0000,6680.0000,0.0000,,A,61.0100,CMS Energy Corp,55,4931,MI
003504,65541,5780,2020/10/31,2020,INDL,C,D,STD,COO,216648402,COOPER COS INC (THE),USD,,6737.5000,310.4000,3824.6000,116.8000,49.1000,442.6000,1620.7000,3.0000,12.0000,1542.1000,2430.9000,0.0000,93.3000,A,319.0500,Cooper Cos Inc (The),35,3851,CA
003505,59248,33,2020/12/31,2020,INDL,C,D,STD,TAP,60871R209,MOLSON COORS BEVERAGE CO,USD,0.0000,27331.1000,574.8000,12365.0000,770.1000,216.7000,1067.2000,7314.6000,125.3000,17.0000,4386.5000,9684.3000,,,A,45.1900,Molson Coors Beverage Company,30,2082,CO
003505,90562,33,2020/12/31,2020,INDL,C,D,STD,TAP,60871R209,MOLSON COORS BEVERAGE CO,USD,0.0000,27331.1000,574.8000,12365.0000,770.1000,216.7000,1067.2000,7314.6000,125.3000,17.0000,4386.5000,9684.3000,,,A,45.1900,Molson Coors Beverage Company,30,2082,CO
003532,22293,20523,2020/12/31,2020,INDL,C,D,STD,GLW,219350105,CORNING INC,USD,0.0000,30775.0000,1377.0000,10957.0000,2672.0000,765.0000,158.0000,7838.0000,787.0000,,15766.0000,11408.0000,,1154.0000,A,36.0000,Corning Inc,45,3679,NY
003570,27562,5169,2020/07/31,2020,INDL,C,D,STD,CBRL,22410J106,CRACKER BARREL OLD CTRY STOR,USD,32.9710,2544.2580,297.3280,418.3890,436.9960,23.6970,81.6960,1542.6300,94.5440,55.0000,1822.0100,2522.7920,207.2530,,A,110.4700,Cracker Barrel Old Country Store Inc,25,5812,TN
003592,14229,54593,2020/12/31,2020,INDL,C,D,STD,OMF,68268W103,ONEMAIN HOLDINGS INC,USD,,22471.0000,,3441.0000,2272.0000,134.3230,0.0000,17800.0000,,,,4933.0000,,,A,48.1600,OneMain Holdings Inc,40,6141,IN
003619,17726,20537,2020/12/31,2020,INDL,C,D,STD,CCK,228368106,CROWN HOLDINGS INC,USD,0.0000,16670.0000,587.0000,2198.0000,1173.0000,134.8010,188.0000,8023.0000,0.0000,,4198.0000,11575.0000,,,A,100.2000,Crown Holdings Inc,15,3411,PA
003639,31077,20541,2020/09/30,2020,INDL,C,D,STD,CUB,229669106,CUBIC CORP,USD,234.7880,2324.2210,49.2470,960.7770,156.9840,31.3290,243.7980,674.4260,8.4310,6.1000,253.4680,1476.2350,0.0000,44.5740,A,58.1700,Cubic Corp,20,3578,CA
003643,27888,840,2020/12/31,2020,INDL,C,D,STD,CFR,229899109,CULLEN/FROST BANKERS INC,USD,0.0000,42391.3170,95.4220,4147.5640,10288.8530,63.0110,2116.9970,558.4220,182.6000,4.6850,1045.5780,1485.7310,5.9880,,A,87.2300,Cullen/Frost Bankers Inc,40,6020,TX
003650,41080,20543,2020/12/31,2020,INDL,C,D,STD,CMI,231021106,CUMMINS INC,USD,0.0000,22624.0000,528.0000,8062.0000,3862.0000,147.6000,682.0000,3935.0000,782.0000,57.8250,4693.0000,19811.0000,0.0000,903.0000,A,227.1000,Cummins Inc.,20,3510,IN
003735,49680,20557,2020/12/31,2020,INDL,C,D,STD,DHR,235851102,DANAHER CORP,USD,20971.0000,76161.0000,791.0000,36498.0000,6035.0000,711.0000,11.0000,21193.0000,615.0000,69.0000,,22284.0000,2.0000,1348.0000,A,222.1400,Danaher Corp,35,3826,DC
003835,19350,20566,2020/10/31,2020,INDL,C,D,STD,DE,244199105,DEERE & CO,USD,66.0000,75091.0000,2656.0000,12937.0000,7190.0000,313.6560,13264.0000,33039.0000,956.0000,69.6340,13439.0000,35540.0000,1783.0000,1644.0000,A,225.9100,Deere & Co,20,3523,IL
003851,91926,20569,2020/12/31,2020,INDL,C,D,STD,DAL,247361702,DELTA AIR LINES INC,USD,,72051.0000,,1353.0000,14288.0000,637.7340,2410.0000,33138.0000,,,32262.0000,17095.0000,,,A,40.2100,Delta Air Lines Inc,20,4512,GA
003905,76708,10992,2020/06/30,2020,INDL,C,D,STD,ATGE,00737L103,ADTALEM GLOBAL EDUCATION INC,USD,,2228.6870,44.1370,1310.4210,510.0730,51.8710,54.6440,462.1470,0.0000,4.2990,461.0370,1052.0010,,,A,31.1500,Adtalem Global Education Inc,25,8200,IL
003946,40440,20582,2020/12/31,2020,INDL,C,D,STD,DBD,253651103,DIEBOLD NIXDORF INC,USD,0.0000,3657.4000,27.5000,-827.1000,361.7000,77.6720,,2335.7000,0.0000,,,3902.3000,,133.4000,A,10.6600,Diebold Nixdorf Inc,45,3578,OH
003980,26403,20587,2020/09/30,2020,INDL,C,D,STD,DIS,254687106,DISNEY (WALT) CO,USD,0.0000,201549.0000,4022.0000,83583.0000,17917.0000,1810.0000,6495.0000,55828.0000,1587.0000,203.0000,36126.0000,65388.0000,0.0000,,A,124.0800,Walt Disney Co (The),50,4888,CA
004029,64936,20592,2020/12/31,2020,INDL,C,D,STD,D,25746U109,DOMINION ENERGY INC,USD,311.0000,95905.0000,6020.0000,26117.0000,,816.0000,3057.0000,33957.0000,2873.0000,,57848.0000,14172.0000,,,A,75.2000,Dominion Energy Inc,55,4911,VA
004036,61313,1344,2020/07/31,2020,INDL,C,D,STD,DCI,257651109,DONALDSON CO INC,USD,6.5000,2244.6000,124.4000,987.1000,236.6000,126.3390,35.2000,665.5000,106.4000,12.4000,705.3000,2588.6000,2.0000,61.2000,A,48.3400,Donaldson Co Inc.,20,3714,MN
004060,16851,56027,2020/12/31,2020,INDL,C,D,STD,DD,26614N102,DUPONT DE NEMOURS INC,USD,70.0000,70904.0000,1194.0000,38504.0000,2544.0000,734.2040,5.0000,21806.0000,882.0000,,9985.0000,20397.0000,,860.0000,A,71.1100,DuPont  De Nemours Inc,15,2860,DE
004072,30737,5957,2020/07/31,2020,INDL,C,D,STD,ASNAQ,04351G200,ASCENA RETAIL GROUP INC,USD,0.0000,2334.1000,65.1000,-994.2000,581.6000,10.0870,228.5000,0.8000,0.0000,35.0000,844.7000,3718.1000,,0.0000,A,0.7190,Ascena Retail Group Inc,25,5621,NJ
004093,27959,20608,2020/12/31,2020,INDL,C,D,STD,DUK,26441C204,DUKE ENERGY CORP,USD,,162388.0000,,46002.0000,259.0000,769.0000,7111.0000,56965.0000,,,108306.0000,24020.0000,,,A,91.5600,Duke Energy Corp,55,4931,NC
004094,19495,57135,2020/12/31,2020,INDL,C,D,STD,DNB,26484T106,DUN & BRADSTREET HOLDNGS INC,USD,20.6000,9219.4000,7.7000,3520.7000,354.5000,422.9520,25.3000,3255.8000,64.1000,,,1738.1000,0.0000,,A,24.9000,Dun & Bradstreet Corp (The),20,7323,NJ
004124,31051,6593,2020/06/30,2020,INDL,C,D,STD,DYNT,268157401,DYNATRONICS CORP,USD,0.0000,37.5960,0.2920,11.1250,2.3170,13.8040,2.2900,8.5990,0.0000,0.1950,8.2880,53.4090,0.0000,0.0950,A,0.8800,Dynatronics Corp,35,3845,MN
004145,42200,20616,2020/12/31,2020,INDL,C,D,STD,PKI,714046109,PERKINELMER INC,USD,411.4950,8010.2860,77.5060,3735.4920,402.6140,111.8780,380.9480,1798.1030,31.2120,14.0000,575.5400,3782.7450,,205.3890,A,143.5000,PerkinElmer Inc.,35,3826,MA
004201,31500,1451,2020/10/31,2020,INDL,C,D,STD,EV,278265103,EATON VANCE CORP,USD,28.8000,4949.2980,21.0430,1323.6850,1298.2630,114.6610,43.6250,2539.0100,183.8930,1.9830,324.9390,1730.3650,0.0000,,A,59.7900,Eaton Vance Corp.,40,6282,MA
004321,22103,20643,2020/09/30,2020,INDL,C,D,STD,EMR,291011104,EMERSON ELECTRIC CO,USD,126.0000,22882.0000,538.0000,8405.0000,3315.0000,598.0000,1308.0000,6699.0000,1209.0000,83.5000,4196.0000,16785.0000,0.0000,439.0000,A,65.5700,Emerson Electric Co.,20,3823,MO
004383,32986,6748,2020/09/30,2020,INDL,C,D,STD,ATO,049560105,ATMOS ENERGY CORP,USD,0.0000,15359.0320,1935.6760,6791.2030,20.8080,125.8820,35.8810,4732.8500,282.4440,4.6940,13582.4930,2821.1370,0.0000,,A,95.5900,Atmos Energy Corp,55,4924,TX
